run_name,category,id,input,expected,actual,error_margin,overlap_match,schema_pass,schema_error,pass_fail,reasoning,generation_latency_ms,judge_latency_ms
gpt-oss-120b_prompts-v1,answer_evaluation,ae_1,Python uses reference counting as the primary mech,"[9, 10]",7.8,1.7000000000000002,"Hallucinated: ['Details on generation thresholds and collection triggers', 'Handling of objects with __del__ (finalizers) in cycles', 'Role of the gc module (e.g., gc.collect, gc.disable)', 'Weak references and their impact on GC', 'Differences in GC behavior across Python implementations (e.g., PyPy, Jython)', 'Potential performance trade‑offs and tuning options']",True,,FAIL,"The answer correctly identifies reference counting as the primary mechanism and mentions the generational cyclic garbage collector with three generations, which are the core concepts of CPython's GC. It is concise and accurate but lacks depth on how generations are managed, thresholds, interaction with __del__ methods, weak references, and differences across Python implementations.",1752,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_2,Python cleans up memory automatically when objects,"[3, 5]",2.1,1.9,3/3,True,,FAIL,The answer mentions automatic memory cleanup but lacks any substantive detail about how Python's garbage collection actually works.,1429,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_3,Garbage collection in Python works by scanning the,"[1, 3]",1.0,0,1/1,True,,PASS,The answer contains several factual errors about Python's garbage collection and lacks depth or correct details.,945,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_4,"I don't really remember the details, something abo","[0, 2]",1.2,0,0/2,True,,PASS,"The candidate provided an incomplete and vague answer, showing little understanding of Python's garbage collection mechanisms.",919,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_5,"I'd use a token bucket algorithm, each client gets","[9, 10]",7.5,2.0,"Hallucinated: ['Precise atomic operations (e.g., Redis Lua scripts)', 'Handling of bursts and refill mechanics', 'Clock synchronization and distributed race conditions', 'Different rate‑limit scopes (IP, API key, endpoint)', 'Trade‑offs between latency, memory, and accuracy', 'Fallback or queuing strategies']",True,,FAIL,"The candidate correctly identified token bucket as a common solution and mentioned using Redis for distributed consistency, showing solid foundational knowledge. They also noted an alternative sliding‑window approach. However, the answer lacks depth on implementation details (e.g., Lua scripts for atomicity, handling bursts, TTL management), edge cases, and trade‑offs such as latency, consistency vs. availability, and different granularity of limits.",1269,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_6,You could just count requests per user and block t,"[4, 6]",2.1,2.9,0/2,True,,FAIL,The answer is overly simplistic and lacks depth. It mentions only basic counting without addressing key aspects of a robust rate limiter.,1191,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_7,Rate limiting is usually handled by the frontend d,"[1, 2]",1.2,0,0/3,True,,PASS,The answer does not address the core concepts of API rate limiting and provides an inaccurate approach.,1064,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_8,"Indexes speed up reads but slow down writes, since","[9, 10]",8.0,1.5,"Hallucinated: ['Impact of indexes on bulk load operations and index fragmentation', 'Lock contention and concurrency overhead for frequently updated indexed columns', 'Maintenance costs such as index rebuilds, statistics updates, and backup/restore overhead', 'Potential for too many indexes to cause suboptimal query plans or increased memory usage']",True,,FAIL,"The candidate correctly identifies the main ways indexes can degrade performance, especially for write-heavy workloads and low‑selectivity columns, and mentions optimizer behavior.",1480,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_9,"Indexes are always good for performance, more inde","[0, 2]",1.2,0,0/3,True,,PASS,"The answer is fundamentally incorrect; it claims indexes are always beneficial and have no downsides, which ignores the well-known performance costs of maintaining indexes during writes and the extra storage and potential query planner issues.",1109,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_10,"Write overhead I think, and maybe storage stuff.","[3, 5]",2.5,1.5,0/2,True,,FAIL,"The answer mentions the primary downside of indexes (write overhead) and hints at storage cost, but it is extremely brief and omits many important considerations.",1431,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_11,Microtasks (like Promise callbacks and queueMicrot,"[9, 10]",8.0,1.5,"Hallucinated: ['Other common microtasks (MutationObserver, process.nextTick in Node)', 'Broader set of macrotasks (setInterval, I/O callbacks, UI events, requestAnimationFrame)', 'Event loop phases and how microtasks fit into them', 'Potential pitfalls like microtask starvation or ordering nuances']",True,,FAIL,"The answer correctly captures the core distinction: microtasks run after the current stack but before the next macrotask, and all microtasks are drained before moving on. It mentions key examples (Promise callbacks, queueMicrotask vs setTimeout).",1307,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_12,Microtasks and macrotasks are basically the same t,"[0, 2]",1.0,0,0/3,True,,PASS,The answer is fundamentally incorrect; it conflates microtasks and macrotasks and ignores their distinct roles in the JavaScript event loop.,1084,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_13,"An image is a read-only template, a snapshot of fi","[8, 10]",8.2,0,"Hallucinated: ['Role of registries and how images are stored/distributed', 'Lifecycle differences (build vs run, start/stop/commit)', 'Underlying isolation mechanisms (namespaces, cgroups)', 'Networking and storage considerations for containers']",True,,PASS,"The candidate correctly describes the core distinction: images are immutable templates composed of layers and metadata, while containers are mutable, running instances with an additional writable layer. The explanation is clear and concise.",1136,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_14,An image is like the container but before you star,"[3, 5]",2.1,1.9,1/3,True,,FAIL,"The answer captures the very basic idea that an image precedes a container, but it lacks any substantive explanation of what an image actually is, how it differs from a container, and the key concepts involved.",1066,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_15,,"[0, 0]",,N/A,0/3,False,Score not a number,FAIL,,0,0
gpt-oss-120b_prompts-v1,answer_evaluation,ae_16,Redis offers RDB (point-in-time snapshots at inter,"[9, 10]",7.5,2.0,"Hallucinated: ['Details of how RDB snapshots are created (fork, copy‑on‑write)', 'AOF rewrite (log compaction) and its impact', 'Configurable fsync policies (always, everysec, no) and their durability implications', 'Performance impact on write latency and CPU usage', 'Potential data loss windows for each method', 'Hybrid persistence introduced in newer Redis versions']",True,,FAIL,"The candidate correctly identifies Redis' two main persistence mechanisms (RDB snapshots and AOF logs) and outlines their basic trade‑offs, showing solid core understanding.",1280,0
